Time,Pack Amperage (Current),J1772 AC Amp Limit
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:55 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:56 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:57 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:58 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:59 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:00 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:01 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:02 GMT 2020,1.000000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:03 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:04 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:05 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.000000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:06 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:07 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:08 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:09 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:10 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:11 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:12 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
