Time,Discharge-Enable Output Active,Pack Discharge Current Limit (DCL),Pack Amperage (Current),Pack Voltage
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:03 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:04 GMT 2020,0.000000,248.000000,38.000000,295.700000
Fri Nov 6 11:31:04 GMT 2020,0.000000,248.000000,84.600000,290.900000
Fri Nov 6 11:31:04 GMT 2020,0.000000,248.000000,85.800000,289.500000
Fri Nov 6 11:31:04 GMT 2020,0.000000,246.000000,93.800000,289.600000
Fri Nov 6 11:31:04 GMT 2020,0.000000,248.000000,102.400000,289.200000
Fri Nov 6 11:31:04 GMT 2020,0.000000,248.000000,102.400000,288.800000
Fri Nov 6 11:31:04 GMT 2020,0.000000,246.000000,111.600000,288.300000
Fri Nov 6 11:31:04 GMT 2020,0.000000,250.000000,107.300000,287.900000
Fri Nov 6 11:31:04 GMT 2020,0.000000,251.000000,115.300000,287.400000
Fri Nov 6 11:31:04 GMT 2020,0.000000,251.000000,121.400000,287.200000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,124.500000,285.900000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:05 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:06 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
Fri Nov 6 11:31:07 GMT 2020,0.000000,246.000000,120.800000,285.800000
